** Cluster Picker Results **
Input sequences =	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV_1b_3876.fas
Input tree =	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV3876.nwk
Initial support threshold=	90.0
Support threshold=	90.0
Genetic distance threshold=	0.02
Large cluster threshold=	2147483647
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV_1b_3876_HCV3876_clusterPicks.fas
Output tree=	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV3876_clusterPicks.nwk
Output figtree=	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV3876_clusterPicks.nwk.figTree
-------------------------
There are	3876	sequences
Tree has	3876	tips
Found	50	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	7	7	[AY587359, AY587353, AY587357, AY587352, AY587356, AY587354, AY587364]	93.0	0.008726003490401396
2	2	2	[KC143930, KC143928]	95.0	0.0034904013961605585
3	2	2	[AY835228, AY835227]	93.0	0.005235602094240838
4	8	8	[AY587496, AY587482, AY587497, AY587484, AY587486, AY587487, AY587490, AY587483]	95.0	0.013961605584642234
5	3	3	[AF139594, S62220, D13406]	99.0	0.005235602094240838
6	2	2	[AB269350, AB291028]	100.0	0.0017452006980802793
7	2	2	[FJ607132, FJ607113]	98.0	0.005235602094240838
8	7	7	[AY587420, AY587426, AY587428, AY587415, AY587421, AY587414, AY587419]	91.0	0.006980802792321117
9	2	2	[DQ374421, AY506680]	96.0	0.0034904013961605585
10	2	2	[AB719578, AB719498]	99.0	0.0034904013961605585
11	2	2	[AF165049, AF165050]	96.0	0.005235602094240838
12	2	2	[FJ483372, FJ607089]	100.0	0.0017452006980802793
13	12	12	[AY600729, AY600728, AY600733, AY600731, AY600735, AY600736, AY600715, AY600739, AY600738, AY600707, AY600708, AY600737]	91.0	0.010471204188481676
14	2	2	[FJ911717, FJ911733]	97.0	0.005235602094240838
15	2	2	[D16751, D16766]	99.0	0.005235602094240838
16	4	4	[X61596, X61591, X78951, X61594]	90.0	0.017452006980802792
17	2	2	[AB779562, AB779679]	93.0	0.005235602094240838
18	2	2	[DQ641968, DQ839199]	96.0	0.0017452006980802793
19	2	2	[DQ641969, DQ839200]	99.0	0.0017452006980802793
20	2	2	[DQ641973, DQ839204]	97.0	0.0017452006980802793
21	14	14	[JN981189, JN981196, JN981207, JN981191, JN981201, JN981193, JN981194, JN981199, JN981200, JN981197, JN981204, JN981188, JN981190, JN981206]	95.0	0.013961605584642234
22	2	2	[AM262500, AM262494]	91.0	0.0017452006980802793
23	2	2	[D11355, D11168]	100.0	0.0034904013961605585
24	2	2	[AY835286, AY835287]	94.0	0.013961605584642234
25	2	2	[AB518849, AB518858]	95.0	0.0
26	2	2	[D50484, D50482]	91.0	0.010471204188481676
27	2	2	[AB154198, AB154197]	99.0	0.0034904013961605585
28	4	4	[JQ791358, JQ791360, JQ791356, JQ791352]	90.0	0.006980802792321117
29	3	3	[D16703, D16702, D16704]	91.0	0.006980802792321117
30	2	2	[EF652687, EF652659]	97.0	0.0034904013961605585
31	2	2	[AF165061, AF165062]	97.0	0.010471204188481676
32	3	3	[AB061988, AB061992, AB061989]	91.0	0.0034904013961605585
33	2	2	[DQ839214, DQ839216]	93.0	0.008726003490401396
34	2	2	[EF420127, EF420126]	98.0	0.012216404886561954
35	2	2	[JQ791371, JQ791370]	100.0	0.0017452006980802793
36	11	11	[JQ791377, JQ791384, JQ791379, JQ791374, JQ791381, JQ791366, JQ791365, JQ791383, JQ791367, JQ791378, JQ791368]	98.0	0.006980802792321117
37	2	2	[KC143890, KC143884]	93.0	0.0017452006980802793
38	13	13	[AB492234, AB492230, AB492228, AB492229, AB492235, AB492233, AB492220, AB492221, AB492225, AB492226, AB492219, AB492227, AB492222]	91.0	0.019197207678883072
39	2	2	[JQ791357, JQ791362]	99.0	0.0017452006980802793
40	2	2	[JN573006, JN573005]	96.0	0.0017452006980802793
41	2	2	[D00574, D89815]	97.0	0.006980802792321117
42	11	11	[AB492209, AB492213, AB492208, AB492210, AB492224, AB492215, AB492214, AB492207, AB492203, AB492204, AB492205]	100.0	0.012216404886561954
43	2	2	[JQ791349, JQ791345]	94.0	0.0017452006980802793
44	2	2	[JN981454, JN981450]	90.0	0.0017452006980802793
45	9	9	[JQ791390, JQ791385, JQ791391, JQ791395, JQ791400, JQ791401, JQ791403, JQ791386, JQ791387]	99.0	0.008726003490401396
46	2	2	[JQ791396, JQ791388]	93.0	0.0034904013961605585
47	2	2	[D10687, D10688]	97.0	0.0034904013961605585
48	8	8	[JN981309, JN981325, JN981316, JN981310, JN981315, JN981319, JN981308, JN981312]	97.0	0.015706806282722512
49	2	2	[JX649722, JX649718]	93.0	0.006980802792321117
50	2	2	[JN981481, JN981482]	92.0	0.008726003490401396
-------------------------
